1:98.0645
2:80.0023
3:75.0791
4:54.9642
5:34.7219
6:21.3137
7:14.8706
8:12.2433
9:2.12468
10:0.963542
11:0
12:0
13:0
14:0
15:0
16:0
17:0
18:0
19:0
20:0
