1:93.0868
2:85.3924
3:75.3453
4:63.323
5:50.2972
6:38.0952
7:27.2105
8:18.2084
9:11.2648
10:6.5038
11:3.67616
12:1.7798
13:0.906563
14:0.338888
15:0.167178
16:0.0615654
17:0.0190749
18:0.0122325
19:0.00491775
20:0
