1:89.8033
2:79.0379
3:65.5166
4:50.3202
5:36.6907
6:24.6838
7:15.2408
8:8.93726
9:4.73617
10:2.36583
11:0.971745
12:0.43975
13:0.155862
14:0.0644814
15:0.0131598
16:0.00303226
17:0.00204625
18:0
19:0.00120812
20:0
