1:15.0048
2:30.0096
3:45.0145
4:60.0193
5:75.0241
6:90.0289
7:105.034
8:120.039
9:135.043
10:150.048
11:165.053
12:180.058
13:195.063
14:210.068
15:225.072
16:240.077
17:255.082
18:270.087
19:285.092
20:300.096
