1:92.4145
2:84.0182
3:72.5652
4:59.7125
5:47.6415
6:35.4042
7:24.3436
8:15.8323
9:9.42436
10:5.35658
11:2.54692
12:1.38065
13:0.53686
14:0.225016
15:0.115959
16:0.034394
17:0.0192692
18:0.00542111
19:0.0029343
20:0
