1:97.729
2:95.2236
3:91.2566
4:86.1709
5:79.5737
6:72.155
7:63.6753
8:54.5533
9:46.1813
10:36.9386
11:29.4072
12:21.9018
13:15.5734
14:10.9262
15:7.25016
16:4.66574
17:2.70068
18:1.5839
19:0.765902
20:0.43448
