1:88.7788
2:79.5668
3:64.503
4:49.8779
5:35.3537
6:23.8298
7:13.4659
8:9.19194
9:4.87436
10:2.17376
11:0.890177
12:0.340749
13:0.0927771
14:0.025232
15:0.0169635
16:0
17:0
18:0
19:0
20:0
