1:84.3207
2:69.3631
3:52.4322
4:36.3251
5:22.6905
6:13.07
7:6.97118
8:3.23473
9:1.44873
10:0.551249
11:0.178685
12:0.0708323
13:0.0321034
14:0.00578159
15:0.0024793
16:0
17:0
18:0
19:0
20:0
