1:85.7241
2:71.4873
3:55.3869
4:39.434
5:25.107
6:15.0231
7:7.91778
8:4.11036
9:1.67614
10:0.745114
11:0.270886
12:0.108038
13:0.038997
14:0.00707652
15:0.00300915
16:0.000248647
17:0
18:0
19:0
20:0
