1:94.473
2:88.1188
3:79.2589
4:68.4801
5:56.4309
6:45.1704
7:33.7188
8:24.2205
9:16.0332
10:9.99408
11:5.88001
12:3.11159
13:1.59172
14:0.785175
15:0.339089
16:0.166714
17:0.0576484
18:0.0274595
19:0.013641
20:0.00231175
