1:72.6422
2:51.0806
3:31.5519
4:17.4158
5:8.2363
6:3.45576
7:1.27112
8:0.443092
9:0.0943937
10:0.0488035
11:0.0113808
12:0.00143021
13:0.000258275
14:3.58707e-05
15:0
16:0
17:0
18:0
19:0
20:0
