1:78.2955
2:60.3688
3:41.744
4:25.3392
5:14.0678
6:7.09164
7:2.96211
8:1.31178
9:0.458517
10:0.123839
11:0.0491603
12:0.0119941
13:0.00185421
14:0.000597559
15:0
16:0.000451618
17:0
18:0
19:0
20:0
