1:88.8992
2:78.8487
3:70.3765
4:48.5512
5:39.0956
6:24.6159
7:13.2712
8:9.22893
9:3.52117
10:2.48001
11:0.922061
12:0.427998
13:0.018135
14:0
15:0
16:0
17:0
18:0
19:0
20:0
