1:84.166
2:68.2731
3:51.0584
4:34.8747
5:21.8915
6:11.9621
7:6.12219
8:2.82566
9:1.21817
10:0.372059
11:0.174771
12:0.0589557
13:0.0269046
14:0.00614505
15:0.000734982
16:0
17:0
18:0
19:0
20:0
