1:88.2878
2:77.2007
3:59.4054
4:50.0903
5:32.1151
6:22.7256
7:12.3748
8:6.95418
9:3.62142
10:0.622839
11:0.252365
12:0.158232
13:0.317808
14:0.00670885
15:0
16:0
17:0
18:0
19:0
20:0
