1:88.1893
2:79.2735
3:67.894
4:53.4928
5:36.8758
6:22.2511
7:10.7496
8:7.36233
9:4.05907
10:1.28767
11:0.117313
12:0
13:0
14:0
15:0
16:0
17:0
18:0
19:0
20:0
