1:89.666
2:78.8272
3:66.236
4:50.6549
5:36.0141
6:25.7872
7:15.0437
8:9.0943
9:4.7638
10:2.08296
11:0.933913
12:0.330098
13:0.0916876
14:0.0654683
15:0.0197583
16:0.000230094
17:0
18:0
19:0
20:0
