1:89.6942
2:78.9119
3:65.2456
4:51.1384
5:36.9496
6:24.6401
7:15.2126
8:8.85614
9:4.62483
10:2.19186
11:1.16967
12:0.364855
13:0.176267
14:0.0629759
15:0.0369441
16:0.00589691
17:0.00418101
18:0
19:0.00125278
20:0
